"Device: USB-231"
"Serial Number: 219F0E1"
"Channel Count: 5"
"Sample Count: 17220"
"Start Time: 1/25/2024 12:37:30.522 PM"
"Scan Rate: 1000"
"Sample","Date/Time","Torque (V)","Temp1 (V)","CH2H Volt (V)","CH3H Current (V)","Temp2 (V)"
"1639","1/25/2024 12:37:32.161 PM","-0.165","3.011","1.458","1.091","2.986"
"1640","1/25/2024 12:37:32.162 PM","-0.156","3.009","1.443","1.102","2.992"
"1641","1/25/2024 12:37:32.163 PM","-0.170","3.009","1.452","1.098","2.988"
"1642","1/25/2024 12:37:32.164 PM","-0.161","3.011","1.450","1.100","2.985"
"1643","1/25/2024 12:37:32.165 PM","-0.157","3.010","1.450","1.096","2.989"
"1644","1/25/2024 12:37:32.166 PM","-0.159","3.008","1.452","1.098","2.984"
"1645","1/25/2024 12:37:32.167 PM","-0.161","3.010","1.453","1.098","2.989"
"1646","1/25/2024 12:37:32.168 PM","-0.156","3.011","1.452","1.098","2.988"
"1647","1/25/2024 12:37:32.169 PM","-0.163","3.008","1.452","1.101","2.988"
"1648","1/25/2024 12:37:32.170 PM","-0.160","3.008","1.445","1.097","2.988"
"1649","1/25/2024 12:37:32.171 PM","-0.161","3.011","1.450","1.096","2.986"
"1650","1/25/2024 12:37:32.172 PM","-0.157","3.011","1.453","1.099","2.986"
"1651","1/25/2024 12:37:32.173 PM","-0.171","3.008","1.449","1.098","2.987"
"1652","1/25/2024 12:37:32.174 PM","-0.150","3.008","1.453","1.099","2.987"
"1653","1/25/2024 12:37:32.175 PM","-0.151","3.008","1.447","1.103","2.987"
"1654","1/25/2024 12:37:32.176 PM","-0.150","3.011","1.443","1.098","2.989"
"1655","1/25/2024 12:37:32.177 PM","-0.159","3.010","1.446","1.094","2.987"
"1656","1/25/2024 12:37:32.178 PM","-0.159","3.011","1.448","1.103","2.982"
"1657","1/25/2024 12:37:32.179 PM","-0.158","3.013","1.456","1.095","2.989"
"1658","1/25/2024 12:37:32.180 PM","-0.162","3.011","1.450","1.098","2.986"
"1659","1/25/2024 12:37:32.181 PM","-0.160","3.011","1.448","1.098","2.987"
"1660","1/25/2024 12:37:32.182 PM","-0.151","3.013","1.453","1.100","2.986"
"1661","1/25/2024 12:37:32.183 PM","-0.150","3.013","1.449","1.100","2.987"
"1662","1/25/2024 12:37:32.184 PM","-0.147","3.013","1.447","1.100","2.991"
"1663","1/25/2024 12:37:32.185 PM","-0.158","3.010","1.450","1.098","2.989"
"1664","1/25/2024 12:37:32.186 PM","-0.162","3.008","1.452","1.091","2.986"
"1665","1/25/2024 12:37:32.187 PM","-0.168","3.014","1.455","1.090","2.986"
"1666","1/25/2024 12:37:32.188 PM","-0.165","3.011","1.451","1.098","2.986"
"1667","1/25/2024 12:37:32.189 PM","-0.160","3.010","1.452","1.097","2.985"
"1668","1/25/2024 12:37:32.190 PM","-0.161","3.009","1.449","1.098","2.985"
"1669","1/25/2024 12:37:32.191 PM","-0.158","3.013","1.456","1.100","2.988"
"1670","1/25/2024 12:37:32.192 PM","-0.150","3.009","1.446","1.094","2.985"
"1671","1/25/2024 12:37:32.193 PM","-0.160","3.009","1.446","1.102","2.988"
"1672","1/25/2024 12:37:32.194 PM","-0.170","3.011","1.449","1.098","2.987"
"1673","1/25/2024 12:37:32.195 PM","-0.162","3.010","1.455","1.106","2.989"
"1674","1/25/2024 12:37:32.196 PM","-0.148","3.010","1.452","1.098","2.985"
"1675","1/25/2024 12:37:32.197 PM","-0.161","3.009","1.451","1.098","2.990"
"1676","1/25/2024 12:37:32.198 PM","-0.152","3.010","1.448","1.097","2.987"
"1677","1/25/2024 12:37:32.199 PM","-0.155","3.011","1.446","1.100","2.988"
"1678","1/25/2024 12:37:32.200 PM","-0.163","3.009","1.445","1.098","2.988"
"1679","1/25/2024 12:37:32.201 PM","-0.173","3.010","1.444","1.096","2.989"
"1680","1/25/2024 12:37:32.202 PM","-0.165","3.001","1.453","1.098","2.988"
"1681","1/25/2024 12:37:32.203 PM","-0.164","3.011","1.448","1.098","2.989"
"1682","1/25/2024 12:37:32.204 PM","-0.162","3.013","1.460","1.103","2.988"
"1683","1/25/2024 12:37:32.205 PM","-0.160","3.011","1.449","1.098","2.985"
"1684","1/25/2024 12:37:32.206 PM","-0.166","3.015","1.451","1.096","2.985"
"1685","1/25/2024 12:37:32.207 PM","-0.150","3.013","1.453","1.099","2.990"
"1686","1/25/2024 12:37:32.208 PM","-0.161","3.011","1.448","1.098","2.989"
"1687","1/25/2024 12:37:32.209 PM","-0.160","3.011","1.448","1.097","2.985"
"1688","1/25/2024 12:37:32.210 PM","-0.163","3.010","1.449","1.101","2.987"
"1689","1/25/2024 12:37:32.211 PM","-0.159","3.010","1.454","1.100","2.990"
"1690","1/25/2024 12:37:32.212 PM","-0.160","3.011","1.451","1.101","2.987"
"1691","1/25/2024 12:37:32.213 PM","-0.167","3.011","1.448","1.097","2.988"
"1692","1/25/2024 12:37:32.214 PM","-0.159","3.007","1.447","1.098","2.988"
"1693","1/25/2024 12:37:32.215 PM","-0.148","3.010","1.450","1.096","2.987"
"1694","1/25/2024 12:37:32.216 PM","-0.145","3.010","1.449","1.097","2.988"
"1695","1/25/2024 12:37:32.217 PM","-0.163","3.011","1.448","1.098","2.987"
"1696","1/25/2024 12:37:32.218 PM","-0.153","3.010","1.448","1.099","2.984"
"1697","1/25/2024 12:37:32.219 PM","-0.166","3.004","1.447","1.096","2.988"
"1698","1/25/2024 12:37:32.220 PM","-0.166","3.011","1.454","1.102","2.981"
"1699","1/25/2024 12:37:32.221 PM","-0.158","3.011","1.447","1.100","2.987"
"1700","1/25/2024 12:37:32.222 PM","-0.162","3.012","1.454","1.098","2.986"
"1701","1/25/2024 12:37:32.223 PM","-0.159","3.014","1.450","1.098","2.989"
"1702","1/25/2024 12:37:32.224 PM","-0.155","3.010","1.447","1.098","2.987"
"1703","1/25/2024 12:37:32.225 PM","-0.170","3.009","1.453","1.102","2.986"
"1704","1/25/2024 12:37:32.226 PM","-0.171","3.011","1.450","1.097","2.989"
"1705","1/25/2024 12:37:32.227 PM","-0.163","3.007","1.456","1.098","2.988"
"1706","1/25/2024 12:37:32.228 PM","-0.148","3.008","1.448","1.100","2.988"
"1707","1/25/2024 12:37:32.229 PM","-0.161","3.011","1.456","1.095","2.985"
"1708","1/25/2024 12:37:32.230 PM","-0.161","3.012","1.444","1.097","2.987"
"1709","1/25/2024 12:37:32.231 PM","-0.169","3.010","1.446","1.099","2.983"
"1710","1/25/2024 12:37:32.232 PM","-0.159","3.010","1.442","1.097","2.985"
"1711","1/25/2024 12:37:32.233 PM","-0.166","3.011","1.453","1.096","2.986"
"1712","1/25/2024 12:37:32.234 PM","-0.164","3.010","1.450","1.098","2.988"
"1713","1/25/2024 12:37:32.235 PM","-0.165","3.010","1.449","1.098","2.985"
"1714","1/25/2024 12:37:32.236 PM","-0.160","3.011","1.448","1.103","2.986"
"1715","1/25/2024 12:37:32.237 PM","-0.159","3.009","1.443","1.097","2.987"
"1716","1/25/2024 12:37:32.238 PM","-0.165","3.013","1.449","1.100","2.988"
"1717","1/25/2024 12:37:32.239 PM","-0.158","3.011","1.442","1.100","2.988"
"1718","1/25/2024 12:37:32.240 PM","-0.155","3.010","1.452","1.097","2.988"
"1719","1/25/2024 12:37:32.241 PM","-0.150","3.010","1.450","1.094","2.988"
"1720","1/25/2024 12:37:32.242 PM","-0.162","3.010","1.452","1.102","2.987"
"1721","1/25/2024 12:37:32.243 PM","-0.159","3.010","1.450","1.099","2.986"
"1722","1/25/2024 12:37:32.244 PM","-0.151","3.011","1.449","1.098","2.988"
"1723","1/25/2024 12:37:32.245 PM","-0.150","3.009","1.439","1.091","2.988"
"1724","1/25/2024 12:37:32.246 PM","-0.142","3.008","1.450","1.099","2.985"
"1725","1/25/2024 12:37:32.247 PM","-0.152","3.012","1.449","1.097","2.988"
"1726","1/25/2024 12:37:32.248 PM","-0.161","3.010","1.448","1.100","2.986"
"1727","1/25/2024 12:37:32.249 PM","-0.162","3.010","1.451","1.096","2.985"
"1728","1/25/2024 12:37:32.250 PM","-0.166","3.007","1.453","1.099","2.987"
"1729","1/25/2024 12:37:32.251 PM","-0.158","3.011","1.449","1.095","2.985"
"1730","1/25/2024 12:37:32.252 PM","-0.163","3.011","1.451","1.097","2.988"
"1731","1/25/2024 12:37:32.253 PM","-0.160","3.010","1.450","1.102","2.985"
"1732","1/25/2024 12:37:32.254 PM","-0.160","3.011","1.450","1.100","2.989"
"1733","1/25/2024 12:37:32.255 PM","-0.159","3.007","1.451","1.100","2.987"
"1734","1/25/2024 12:37:32.256 PM","-0.158","3.011","1.446","1.099","2.987"
"1735","1/25/2024 12:37:32.257 PM","-0.166","3.009","1.446","1.099","2.987"
"1736","1/25/2024 12:37:32.258 PM","-0.169","3.011","1.444","1.096","2.986"
"1737","1/25/2024 12:37:32.259 PM","-0.172","3.008","1.454","1.097","2.986"
"1738","1/25/2024 12:37:32.260 PM","-0.158","3.009","1.453","1.097","2.986"
"1739","1/25/2024 12:37:32.261 PM","-0.163","3.008","1.452","1.096","2.989"
"1740","1/25/2024 12:37:32.262 PM","-0.155","3.012","1.438","1.095","2.989"
"1741","1/25/2024 12:37:32.263 PM","-0.166","3.009","1.450","1.096","2.987"
"1742","1/25/2024 12:37:32.264 PM","-0.161","3.009","1.454","1.098","2.985"
"1743","1/25/2024 12:37:32.265 PM","-0.161","3.011","1.443","1.100","2.986"
"1744","1/25/2024 12:37:32.266 PM","-0.158","3.013","1.450","1.100","2.988"
"1745","1/25/2024 12:37:32.267 PM","-0.154","3.007","1.452","1.100","2.985"
"1746","1/25/2024 12:37:32.268 PM","-0.162","3.008","1.455","1.099","2.985"
"1747","1/25/2024 12:37:32.269 PM","-0.163","3.009","1.452","1.098","2.985"
"1748","1/25/2024 12:37:32.270 PM","-0.160","3.013","1.445","1.095","2.979"
"1749","1/25/2024 12:37:32.271 PM","-0.164","3.012","1.453","1.094","2.988"
"1750","1/25/2024 12:37:32.272 PM","-0.165","3.011","1.447","1.096","2.988"
"1751","1/25/2024 12:37:32.273 PM","-0.158","3.010","1.453","1.102","2.988"
"1752","1/25/2024 12:37:32.274 PM","-0.163","3.010","1.442","1.099","2.987"
"1753","1/25/2024 12:37:32.275 PM","-0.171","3.010","1.451","1.095","2.987"
"1754","1/25/2024 12:37:32.276 PM","-0.163","3.011","1.453","1.096","2.984"
"1755","1/25/2024 12:37:32.277 PM","-0.159","3.003","1.449","1.099","2.986"
"1756","1/25/2024 12:37:32.278 PM","-0.159","3.011","1.450","1.103","2.986"
"1757","1/25/2024 12:37:32.279 PM","-0.153","3.010","1.454","1.097","2.988"
"1758","1/25/2024 12:37:32.280 PM","-0.158","3.010","1.455","1.096","2.987"
"1759","1/25/2024 12:37:32.281 PM","-0.154","3.010","1.450","1.098","2.985"
"1760","1/25/2024 12:37:32.282 PM","-0.157","3.012","1.454","1.098","2.985"
"1761","1/25/2024 12:37:32.283 PM","-0.162","3.011","1.445","1.096","2.986"
"1762","1/25/2024 12:37:32.284 PM","-0.162","3.011","1.456","1.097","2.988"
"1763","1/25/2024 12:37:32.285 PM","-0.160","3.011","1.449","1.098","2.988"
"1764","1/25/2024 12:37:32.286 PM","-0.164","3.008","1.454","1.099","2.988"
"1765","1/25/2024 12:37:32.287 PM","-0.160","3.011","1.448","1.100","2.987"
"1766","1/25/2024 12:37:32.288 PM","-0.159","3.011","1.452","1.097","2.988"
"1767","1/25/2024 12:37:32.289 PM","-0.160","3.004","1.446","1.098","2.988"
"1768","1/25/2024 12:37:32.290 PM","-0.162","3.011","1.455","1.095","2.987"
"1769","1/25/2024 12:37:32.291 PM","-0.166","3.009","1.449","1.101","2.987"
"1770","1/25/2024 12:37:32.292 PM","-0.169","3.013","1.445","1.097","2.988"
"1771","1/25/2024 12:37:32.293 PM","-0.163","3.011","1.448","1.101","2.989"
"1772","1/25/2024 12:37:32.294 PM","-0.163","3.009","1.455","1.098","2.985"
"1773","1/25/2024 12:37:32.295 PM","-0.166","3.012","1.445","1.102","2.989"
"1774","1/25/2024 12:37:32.296 PM","-0.162","3.010","1.455","1.100","2.979"
"1775","1/25/2024 12:37:32.297 PM","-0.167","3.012","1.449","1.100","2.987"
"1776","1/25/2024 12:37:32.298 PM","-0.159","3.009","1.451","1.098","2.986"
"1777","1/25/2024 12:37:32.299 PM","-0.166","3.014","1.450","1.099","2.986"
"1778","1/25/2024 12:37:32.300 PM","-0.166","3.010","1.452","1.100","2.986"
"1779","1/25/2024 12:37:32.301 PM","-0.163","3.010","1.446","1.097","2.987"
"1780","1/25/2024 12:37:32.302 PM","-0.161","3.012","1.455","1.099","2.984"
"1781","1/25/2024 12:37:32.303 PM","-0.156","3.010","1.453","1.101","2.991"
"1782","1/25/2024 12:37:32.304 PM","-0.166","3.010","1.446","1.101","2.985"
"1783","1/25/2024 12:37:32.305 PM","-0.166","3.011","1.452","1.098","2.987"
"1784","1/25/2024 12:37:32.306 PM","-0.165","3.009","1.448","1.099","2.988"
"1785","1/25/2024 12:37:32.307 PM","-0.159","3.009","1.453","1.098","2.987"
"1786","1/25/2024 12:37:32.308 PM","-0.166","3.011","1.450","1.098","2.986"
"1787","1/25/2024 12:37:32.309 PM","-0.155","3.009","1.446","1.102","2.986"
"1788","1/25/2024 12:37:32.310 PM","-0.158","3.011","1.450","1.100","2.987"
"1789","1/25/2024 12:37:32.311 PM","-0.168","3.009","1.453","1.100","2.987"
"1790","1/25/2024 12:37:32.312 PM","-0.165","3.011","1.446","1.101","2.986"
"1791","1/25/2024 12:37:32.313 PM","-0.158","3.010","1.453","1.099","2.986"
"1792","1/25/2024 12:37:32.314 PM","-0.164","3.008","1.449","1.099","2.987"
"1793","1/25/2024 12:37:32.315 PM","-0.160","3.004","1.454","1.101","2.992"
"1794","1/25/2024 12:37:32.316 PM","-0.168","3.012","1.450","1.098","2.983"
"1795","1/25/2024 12:37:32.317 PM","-0.155","3.011","1.451","1.098","2.987"
"1796","1/25/2024 12:37:32.318 PM","-0.161","3.008","1.445","1.097","2.989"
"1797","1/25/2024 12:37:32.319 PM","-0.158","3.011","1.452","1.099","2.984"
"1798","1/25/2024 12:37:32.320 PM","-0.160","3.014","1.457","1.100","2.985"
"1799","1/25/2024 12:37:32.321 PM","-0.158","3.010","1.453","1.099","2.989"
"1800","1/25/2024 12:37:32.322 PM","-0.171","3.010","1.452","1.097","2.987"
"1801","1/25/2024 12:37:32.323 PM","-0.166","3.011","1.451","1.098","2.985"
"1802","1/25/2024 12:37:32.324 PM","-0.167","3.009","1.453","1.096","2.987"
"1803","1/25/2024 12:37:32.325 PM","-0.159","3.011","1.445","1.097","2.987"
"1804","1/25/2024 12:37:32.326 PM","-0.151","3.013","1.456","1.098","2.988"
"1805","1/25/2024 12:37:32.327 PM","-0.163","3.010","1.447","1.097","2.988"
"1806","1/25/2024 12:37:32.328 PM","-0.160","3.011","1.445","1.105","2.985"
"1807","1/25/2024 12:37:32.329 PM","-0.168","3.011","1.452","1.096","2.987"
"1808","1/25/2024 12:37:32.330 PM","-0.157","3.010","1.448","1.098","2.986"
"1809","1/25/2024 12:37:32.331 PM","-0.158","3.011","1.452","1.100","2.985"
"1810","1/25/2024 12:37:32.332 PM","-0.170","3.010","1.446","1.098","2.988"
"1811","1/25/2024 12:37:32.333 PM","-0.163","3.009","1.452","1.099","2.985"
"1812","1/25/2024 12:37:32.334 PM","-0.165","3.009","1.447","1.099","2.986"
"1813","1/25/2024 12:37:32.335 PM","-0.176","3.010","1.446","1.099","2.989"
"1814","1/25/2024 12:37:32.336 PM","-0.177","3.010","1.453","1.097","2.986"
"1815","1/25/2024 12:37:32.337 PM","-0.163","3.013","1.465","1.094","2.989"
"1816","1/25/2024 12:37:32.338 PM","-0.162","3.011","1.454","1.099","2.988"
"1817","1/25/2024 12:37:32.339 PM","-0.172","3.011","1.447","1.101","2.989"
"1818","1/25/2024 12:37:32.340 PM","-0.161","3.009","1.453","1.099","2.989"
"1819","1/25/2024 12:37:32.341 PM","-0.164","3.010","1.449","1.096","2.986"
"1820","1/25/2024 12:37:32.342 PM","-0.154","3.010","1.455","1.102","2.987"
"1821","1/25/2024 12:37:32.343 PM","-0.160","3.010","1.450","1.102","2.988"
"1822","1/25/2024 12:37:32.344 PM","-0.148","3.009","1.447","1.098","2.985"
"1823","1/25/2024 12:37:32.345 PM","-0.156","3.007","1.463","1.097","2.986"
"1824","1/25/2024 12:37:32.346 PM","-0.152","3.011","1.447","1.100","2.988"
"1825","1/25/2024 12:37:32.347 PM","-0.160","3.010","1.456","1.097","2.985"
"1826","1/25/2024 12:37:32.348 PM","-0.153","3.010","1.451","1.098","2.989"
"1827","1/25/2024 12:37:32.349 PM","-0.159","3.009","1.452","1.097","2.988"
"1828","1/25/2024 12:37:32.350 PM","-0.162","3.011","1.450","1.100","2.989"
"1829","1/25/2024 12:37:32.351 PM","-0.157","3.008","1.454","1.098","2.988"
"1830","1/25/2024 12:37:32.352 PM","-0.170","3.010","1.452","1.101","2.986"
"1831","1/25/2024 12:37:32.353 PM","-0.155","3.010","1.456","1.094","2.987"
"1832","1/25/2024 12:37:32.354 PM","-0.150","3.009","1.442","1.093","2.985"
"1833","1/25/2024 12:37:32.355 PM","-0.158","3.011","1.449","1.097","2.986"
"1834","1/25/2024 12:37:32.356 PM","-0.157","3.009","1.453","1.098","2.985"
"1835","1/25/2024 12:37:32.357 PM","-0.150","3.011","1.450","1.098","2.987"
"1836","1/25/2024 12:37:32.358 PM","-0.154","3.013","1.453","1.102","2.989"
"1837","1/25/2024 12:37:32.359 PM","-0.150","3.010","1.452","1.097","2.987"
"1838","1/25/2024 12:37:32.360 PM","-0.160","3.012","1.444","1.095","2.987"
"1839","1/25/2024 12:37:32.361 PM","-0.163","3.010","1.450","1.095","2.989"
"1840","1/25/2024 12:37:32.362 PM","-0.164","3.013","1.437","1.098","2.987"
"1841","1/25/2024 12:37:32.363 PM","-0.161","3.009","1.449","1.098","2.985"
"1842","1/25/2024 12:37:32.364 PM","-0.156","3.010","1.450","1.098","2.988"
"1843","1/25/2024 12:37:32.365 PM","-0.163","3.010","1.449","1.099","2.985"
"1844","1/25/2024 12:37:32.366 PM","-0.149","3.009","1.449","1.098","2.988"
"1845","1/25/2024 12:37:32.367 PM","-0.160","3.013","1.452","1.097","2.985"
"1846","1/25/2024 12:37:32.368 PM","-0.167","3.009","1.449","1.097","2.986"
"1847","1/25/2024 12:37:32.369 PM","-0.170","3.010","1.452","1.099","2.987"
"1848","1/25/2024 12:37:32.370 PM","-0.166","3.010","1.453","1.101","2.985"
"1849","1/25/2024 12:37:32.371 PM","-0.159","3.008","1.446","1.098","2.986"
"1850","1/25/2024 12:37:32.372 PM","-0.159","3.009","1.450","1.098","2.988"
"1851","1/25/2024 12:37:32.373 PM","-0.163","3.012","1.453","1.097","2.987"
"1852","1/25/2024 12:37:32.374 PM","-0.162","3.010","1.453","1.098","2.980"
"1853","1/25/2024 12:37:32.375 PM","-0.160","3.010","1.451","1.100","2.989"
"1854","1/25/2024 12:37:32.376 PM","-0.146","3.014","1.452","1.100","2.990"
"1855","1/25/2024 12:37:32.377 PM","-0.149","3.011","1.449","1.100","2.987"
"1856","1/25/2024 12:37:32.378 PM","-0.155","3.014","1.459","1.091","2.988"
"1857","1/25/2024 12:37:32.379 PM","-0.159","3.008","1.446","1.099","2.988"
"1858","1/25/2024 12:37:32.380 PM","-0.155","3.010","1.453","1.098","2.989"
"1859","1/25/2024 12:37:32.381 PM","-0.155","3.009","1.450","1.098","2.988"
"1860","1/25/2024 12:37:32.382 PM","-0.148","3.014","1.443","1.100","2.987"
"1861","1/25/2024 12:37:32.383 PM","-0.161","3.009","1.451","1.100","2.987"
"1862","1/25/2024 12:37:32.384 PM","-0.162","3.011","1.450","1.097","2.988"
"1863","1/25/2024 12:37:32.385 PM","-0.173","3.009","1.450","1.097","2.987"
"1864","1/25/2024 12:37:32.386 PM","-0.159","3.010","1.449","1.096","2.988"
"1865","1/25/2024 12:37:32.387 PM","-0.175","3.013","1.442","1.101","2.981"
"1866","1/25/2024 12:37:32.388 PM","-0.167","3.009","1.452","1.097","2.988"
"1867","1/25/2024 12:37:32.389 PM","-0.158","3.011","1.447","1.100","2.990"
"1868","1/25/2024 12:37:32.390 PM","-0.148","3.010","1.449","1.098","2.988"
"1869","1/25/2024 12:37:32.391 PM","-0.162","3.010","1.449","1.100","2.989"
"1870","1/25/2024 12:37:32.392 PM","-0.163","3.010","1.449","1.098","2.994"
"1871","1/25/2024 12:37:32.393 PM","-0.160","3.011","1.453","1.100","2.991"
"1872","1/25/2024 12:37:32.394 PM","-0.169","3.010","1.448","1.096","2.987"
"1873","1/25/2024 12:37:32.395 PM","-0.151","3.009","1.459","1.099","2.986"
"1874","1/25/2024 12:37:32.396 PM","-0.158","3.011","1.449","1.099","2.986"
"1875","1/25/2024 12:37:32.397 PM","-0.168","3.010","1.452","1.097","2.987"
"1876","1/25/2024 12:37:32.398 PM","-0.159","3.010","1.449","1.097","2.989"
"1877","1/25/2024 12:37:32.399 PM","-0.152","3.009","1.445","1.098","2.986"
"1878","1/25/2024 12:37:32.400 PM","-0.153","3.011","1.448","1.096","2.986"
"1879","1/25/2024 12:37:32.401 PM","-0.172","3.013","1.443","1.096","2.987"
"1880","1/25/2024 12:37:32.402 PM","-0.175","3.008","1.450","1.097","2.987"
"1881","1/25/2024 12:37:32.403 PM","-0.158","3.010","1.450","1.095","2.985"
"1882","1/25/2024 12:37:32.404 PM","-0.165","3.009","1.460","1.097","2.986"
"1883","1/25/2024 12:37:32.405 PM","-0.159","3.010","1.452","1.097","2.987"
"1884","1/25/2024 12:37:32.406 PM","-0.159","3.010","1.449","1.096","2.986"
"1885","1/25/2024 12:37:32.407 PM","-0.158","3.009","1.454","1.098","2.982"
"1886","1/25/2024 12:37:32.408 PM","-0.162","3.010","1.445","1.100","2.989"
"1887","1/25/2024 12:37:32.409 PM","-0.155","3.010","1.445","1.099","2.988"
"1888","1/25/2024 12:37:32.410 PM","-0.163","3.009","1.446","1.101","2.985"
"1889","1/25/2024 12:37:32.411 PM","-0.155","3.011","1.450","1.099","2.986"
"1890","1/25/2024 12:37:32.412 PM","-0.154","3.012","1.447","1.098","2.989"
"1891","1/25/2024 12:37:32.413 PM","-0.148","3.010","1.451","1.098","2.987"
"1892","1/25/2024 12:37:32.414 PM","-0.162","3.009","1.450","1.097","2.988"
"1893","1/25/2024 12:37:32.415 PM","-0.155","3.010","1.451","1.098","2.988"
"1894","1/25/2024 12:37:32.416 PM","-0.164","3.011","1.450","1.096","2.990"
"1895","1/25/2024 12:37:32.417 PM","-0.159","3.010","1.448","1.097","2.987"
"1896","1/25/2024 12:37:32.418 PM","-0.158","3.012","1.450","1.094","2.988"
"1897","1/25/2024 12:37:32.419 PM","-0.156","3.013","1.446","1.099","2.987"
"1898","1/25/2024 12:37:32.420 PM","-0.159","3.011","1.463","1.098","2.988"
"1899","1/25/2024 12:37:32.421 PM","-0.148","3.011","1.441","1.098","2.986"
"1900","1/25/2024 12:37:32.422 PM","-0.159","3.012","1.451","1.097","2.985"
"1901","1/25/2024 12:37:32.423 PM","-0.151","3.011","1.447","1.099","2.987"
"1902","1/25/2024 12:37:32.424 PM","-0.162","3.010","1.452","1.098","2.984"
"1903","1/25/2024 12:37:32.425 PM","-0.153","3.010","1.448","1.098","2.987"
"1904","1/25/2024 12:37:32.426 PM","-0.165","3.010","1.452","1.098","2.987"
"1905","1/25/2024 12:37:32.427 PM","-0.167","3.010","1.445","1.099","2.986"
"1906","1/25/2024 12:37:32.428 PM","-0.152","3.014","1.446","1.097","2.982"
"1907","1/25/2024 12:37:32.429 PM","-0.152","3.010","1.451","1.096","2.988"
"1908","1/25/2024 12:37:32.430 PM","-0.155","3.011","1.452","1.098","2.985"
"1909","1/25/2024 12:37:32.431 PM","-0.159","3.012","1.450","1.098","2.988"
"1910","1/25/2024 12:37:32.432 PM","-0.149","3.012","1.446","1.096","2.987"
"1911","1/25/2024 12:37:32.433 PM","-0.161","3.010","1.456","1.097","2.992"
"1912","1/25/2024 12:37:32.434 PM","-0.170","3.012","1.450","1.098","2.985"
"1913","1/25/2024 12:37:32.435 PM","-0.159","3.011","1.453","1.098","2.987"
"1914","1/25/2024 12:37:32.436 PM","-0.157","3.012","1.453","1.095","2.988"
"1915","1/25/2024 12:37:32.437 PM","-0.156","3.011","1.450","1.096","2.988"
"1916","1/25/2024 12:37:32.438 PM","-0.175","3.006","1.446","1.097","2.987"
"1917","1/25/2024 12:37:32.439 PM","-0.160","3.010","1.447","1.102","2.986"
"1918","1/25/2024 12:37:32.440 PM","-0.165","3.013","1.450","1.096","2.988"
"1919","1/25/2024 12:37:32.441 PM","-0.158","3.010","1.446","1.099","2.985"
"1920","1/25/2024 12:37:32.442 PM","-0.165","3.010","1.450","1.100","2.987"
"1921","1/25/2024 12:37:32.443 PM","-0.160","3.012","1.448","1.096","2.988"
"1922","1/25/2024 12:37:32.444 PM","-0.161","3.011","1.448","1.100","2.986"
"1923","1/25/2024 12:37:32.445 PM","-0.152","3.008","1.449","1.096","2.987"
"1924","1/25/2024 12:37:32.446 PM","-0.153","3.013","1.438","1.098","2.988"
"1925","1/25/2024 12:37:32.447 PM","-0.159","3.011","1.449","1.097","2.988"
"1926","1/25/2024 12:37:32.448 PM","-0.163","3.010","1.448","1.098","2.986"
"1927","1/25/2024 12:37:32.449 PM","-0.162","3.010","1.449","1.097","2.989"
"1928","1/25/2024 12:37:32.450 PM","-0.166","3.011","1.453","1.099","2.986"
"1929","1/25/2024 12:37:32.451 PM","-0.164","3.011","1.450","1.098","2.988"
"1930","1/25/2024 12:37:32.452 PM","-0.165","3.010","1.449","1.101","2.989"
"1931","1/25/2024 12:37:32.453 PM","-0.162","3.009","1.453","1.102","2.985"
"1932","1/25/2024 12:37:32.454 PM","-0.161","3.011","1.434","1.096","2.988"
"1933","1/25/2024 12:37:32.455 PM","-0.162","3.011","1.453","1.097","2.986"
"1934","1/25/2024 12:37:32.456 PM","-0.159","3.010","1.445","1.098","2.985"
"1935","1/25/2024 12:37:32.457 PM","-0.157","3.011","1.449","1.099","2.987"
"1936","1/25/2024 12:37:32.458 PM","-0.153","3.009","1.447","1.097","2.989"
"1937","1/25/2024 12:37:32.459 PM","-0.159","3.009","1.450","1.095","2.985"
"1938","1/25/2024 12:37:32.460 PM","-0.161","3.010","1.450","1.100","2.987"
"1939","1/25/2024 12:37:32.461 PM","-0.155","3.013","1.448","1.095","2.984"
"1940","1/25/2024 12:37:32.462 PM","-0.160","3.013","1.445","1.100","2.986"
"1941","1/25/2024 12:37:32.463 PM","-0.162","3.011","1.442","1.100","2.989"
"1942","1/25/2024 12:37:32.464 PM","-0.159","3.011","1.453","1.101","2.986"
"1943","1/25/2024 12:37:32.465 PM","-0.163","3.014","1.450","1.100","2.986"
"1944","1/25/2024 12:37:32.466 PM","-0.158","3.011","1.453","1.099","2.985"
"1945","1/25/2024 12:37:32.467 PM","-0.162","3.010","1.449","1.098","2.987"
"1946","1/25/2024 12:37:32.468 PM","-0.156","3.010","1.450","1.098","2.986"
"1947","1/25/2024 12:37:32.469 PM","-0.158","3.010","1.450","1.099","2.986"
"1948","1/25/2024 12:37:32.470 PM","-0.162","3.011","1.459","1.101","2.991"
"1949","1/25/2024 12:37:32.471 PM","-0.155","3.011","1.442","1.098","2.987"
"1950","1/25/2024 12:37:32.472 PM","-0.159","3.011","1.453","1.098","2.986"
"1951","1/25/2024 12:37:32.473 PM","-0.160","3.009","1.449","1.099","2.988"
"1952","1/25/2024 12:37:32.474 PM","-0.156","3.012","1.453","1.099","2.984"
