"Device: USB-231"
"Serial Number: 219F0E1"
"Channel Count: 5"
"Sample Count: 17220"
"Start Time: 1/25/2024 12:37:30.522 PM"
"Scan Rate: 1000"
"Sample","Date/Time","Torque (V)","Temp1 (V)","CH2H Volt (V)","CH3H Current (V)","Temp2 (V)"
"71","1/25/2024 12:37:30.593 PM","-0.165","3.008","1.445","1.098","2.985"
"72","1/25/2024 12:37:30.594 PM","-0.161","3.010","1.448","1.098","2.985"
"73","1/25/2024 12:37:30.595 PM","-0.153","2.997","1.449","1.100","2.985"
"74","1/25/2024 12:37:30.596 PM","-0.158","3.010","1.451","1.098","2.986"
"75","1/25/2024 12:37:30.597 PM","-0.150","3.009","1.450","1.098","2.986"
"76","1/25/2024 12:37:30.598 PM","-0.152","3.013","1.449","1.100","2.987"
"77","1/25/2024 12:37:30.599 PM","-0.159","3.010","1.454","1.096","2.989"
"78","1/25/2024 12:37:30.600 PM","-0.161","3.015","1.449","1.098","2.987"
"79","1/25/2024 12:37:30.601 PM","-0.150","3.002","1.446","1.098","2.986"
"80","1/25/2024 12:37:30.602 PM","-0.152","3.016","1.452","1.098","2.984"
"81","1/25/2024 12:37:30.603 PM","-0.160","3.010","1.443","1.098","2.988"
"82","1/25/2024 12:37:30.604 PM","-0.159","3.005","1.450","1.097","2.989"
"83","1/25/2024 12:37:30.605 PM","-0.163","3.008","1.446","1.099","2.985"
"84","1/25/2024 12:37:30.606 PM","-0.166","3.009","1.450","1.098","2.987"
"85","1/25/2024 12:37:30.607 PM","-0.150","3.011","1.452","1.098","2.985"
"86","1/25/2024 12:37:30.608 PM","-0.153","3.011","1.447","1.097","2.988"
"87","1/25/2024 12:37:30.609 PM","-0.166","3.014","1.451","1.096","2.987"
"88","1/25/2024 12:37:30.610 PM","-0.169","3.010","1.443","1.098","2.985"
"89","1/25/2024 12:37:30.611 PM","-0.155","3.007","1.455","1.096","2.985"
"90","1/25/2024 12:37:30.612 PM","-0.158","2.988","1.446","1.097","2.987"
"91","1/25/2024 12:37:30.613 PM","-0.159","3.010","1.448","1.097","2.987"
"92","1/25/2024 12:37:30.614 PM","-0.154","3.011","1.450","1.100","2.988"
"93","1/25/2024 12:37:30.615 PM","-0.149","3.009","1.449","1.098","2.987"
"94","1/25/2024 12:37:30.616 PM","-0.149","3.010","1.453","1.100","2.985"
"95","1/25/2024 12:37:30.617 PM","-0.154","3.018","1.449","1.099","2.984"
"96","1/25/2024 12:37:30.618 PM","-0.155","3.011","1.453","1.099","2.991"
"97","1/25/2024 12:37:30.619 PM","-0.150","3.007","1.451","1.097","2.984"
"98","1/25/2024 12:37:30.620 PM","-0.163","2.998","1.447","1.098","2.988"
"99","1/25/2024 12:37:30.621 PM","-0.160","3.013","1.452","1.097","2.985"
"100","1/25/2024 12:37:30.622 PM","-0.162","3.010","1.447","1.098","2.987"
"101","1/25/2024 12:37:30.623 PM","-0.152","3.008","1.445","1.100","2.989"
"102","1/25/2024 12:37:30.624 PM","-0.154","3.009","1.447","1.098","2.986"
"103","1/25/2024 12:37:30.625 PM","-0.152","3.014","1.447","1.100","2.987"
"104","1/25/2024 12:37:30.626 PM","-0.156","3.014","1.449","1.100","2.988"
"105","1/25/2024 12:37:30.627 PM","-0.154","3.008","1.449","1.100","2.988"
"106","1/25/2024 12:37:30.628 PM","-0.153","2.991","1.449","1.098","2.986"
"107","1/25/2024 12:37:30.629 PM","-0.157","2.997","1.449","1.098","2.988"
"108","1/25/2024 12:37:30.630 PM","-0.158","3.013","1.449","1.095","2.987"
"109","1/25/2024 12:37:30.631 PM","-0.149","3.009","1.444","1.098","2.985"
"110","1/25/2024 12:37:30.632 PM","-0.145","3.010","1.450","1.097","2.987"
"111","1/25/2024 12:37:30.633 PM","-0.159","3.000","1.448","1.097","2.989"
"112","1/25/2024 12:37:30.634 PM","-0.152","3.014","1.453","1.097","2.986"
"113","1/25/2024 12:37:30.635 PM","-0.165","3.010","1.450","1.096","2.984"
"114","1/25/2024 12:37:30.636 PM","-0.160","3.004","1.448","1.096","2.988"
"115","1/25/2024 12:37:30.637 PM","-0.159","2.992","1.455","1.097","2.987"
"116","1/25/2024 12:37:30.638 PM","-0.151","3.010","1.449","1.096","2.986"
"117","1/25/2024 12:37:30.639 PM","-0.168","3.008","1.452","1.098","2.989"
"118","1/25/2024 12:37:30.640 PM","-0.159","3.013","1.450","1.097","2.991"
"119","1/25/2024 12:37:30.641 PM","-0.161","3.010","1.451","1.097","2.989"
"120","1/25/2024 12:37:30.642 PM","-0.165","3.011","1.449","1.097","2.987"
"121","1/25/2024 12:37:30.643 PM","-0.161","3.016","1.445","1.096","2.986"
"122","1/25/2024 12:37:30.644 PM","-0.156","3.007","1.446","1.098","2.985"
"123","1/25/2024 12:37:30.645 PM","-0.155","3.001","1.452","1.100","2.987"
"124","1/25/2024 12:37:30.646 PM","-0.162","3.011","1.449","1.097","2.988"
"125","1/25/2024 12:37:30.647 PM","-0.160","3.010","1.447","1.097","2.987"
"126","1/25/2024 12:37:30.648 PM","-0.148","3.010","1.447","1.098","2.979"
"127","1/25/2024 12:37:30.649 PM","-0.158","3.014","1.447","1.100","2.988"
"128","1/25/2024 12:37:30.650 PM","-0.154","3.003","1.448","1.098","2.988"
"129","1/25/2024 12:37:30.651 PM","-0.161","3.003","1.449","1.098","2.989"
"130","1/25/2024 12:37:30.652 PM","-0.152","3.003","1.447","1.098","2.988"
"131","1/25/2024 12:37:30.653 PM","-0.166","2.995","1.449","1.098","2.988"
"132","1/25/2024 12:37:30.654 PM","-0.158","2.996","1.448","1.098","2.987"
"133","1/25/2024 12:37:30.655 PM","-0.154","3.009","1.453","1.100","2.987"
"134","1/25/2024 12:37:30.656 PM","-0.150","3.010","1.451","1.097","2.987"
"135","1/25/2024 12:37:30.657 PM","-0.151","3.011","1.450","1.098","2.987"
"136","1/25/2024 12:37:30.658 PM","-0.159","3.010","1.450","1.101","2.987"
"137","1/25/2024 12:37:30.659 PM","-0.151","3.011","1.448","1.098","2.986"
"138","1/25/2024 12:37:30.660 PM","-0.155","3.010","1.451","1.096","2.987"
"139","1/25/2024 12:37:30.661 PM","-0.153","3.013","1.449","1.098","2.985"
"140","1/25/2024 12:37:30.662 PM","-0.150","2.999","1.445","1.099","2.986"
"141","1/25/2024 12:37:30.663 PM","-0.151","3.010","1.450","1.096","2.989"
"142","1/25/2024 12:37:30.664 PM","-0.157","3.012","1.447","1.099","2.989"
"143","1/25/2024 12:37:30.665 PM","-0.165","3.013","1.450","1.098","2.988"
"144","1/25/2024 12:37:30.666 PM","-0.160","3.011","1.448","1.097","2.987"
"145","1/25/2024 12:37:30.667 PM","-0.165","3.020","1.447","1.097","2.989"
"146","1/25/2024 12:37:30.668 PM","-0.173","3.016","1.452","1.098","2.991"
"147","1/25/2024 12:37:30.669 PM","-0.160","3.011","1.444","1.099","2.987"
"148","1/25/2024 12:37:30.670 PM","-0.151","3.011","1.452","1.097","2.985"
"149","1/25/2024 12:37:30.671 PM","-0.161","3.001","1.450","1.099","2.987"
"150","1/25/2024 12:37:30.672 PM","-0.159","3.007","1.449","1.101","2.986"
"151","1/25/2024 12:37:30.673 PM","-0.157","3.010","1.450","1.098","2.981"
"152","1/25/2024 12:37:30.674 PM","-0.165","3.010","1.452","1.097","2.985"
"153","1/25/2024 12:37:30.675 PM","-0.154","3.010","1.449","1.099","2.988"
"154","1/25/2024 12:37:30.676 PM","-0.164","3.012","1.449","1.099","2.988"
"155","1/25/2024 12:37:30.677 PM","-0.159","3.011","1.450","1.097","2.989"
"156","1/25/2024 12:37:30.678 PM","-0.149","3.021","1.443","1.099","2.988"
"157","1/25/2024 12:37:30.679 PM","-0.149","3.009","1.446","1.100","2.984"
"158","1/25/2024 12:37:30.680 PM","-0.155","3.010","1.450","1.097","2.986"
"159","1/25/2024 12:37:30.681 PM","-0.151","3.009","1.446","1.099","2.987"
"160","1/25/2024 12:37:30.682 PM","-0.159","3.008","1.448","1.097","2.991"
"161","1/25/2024 12:37:30.683 PM","-0.145","3.010","1.450","1.100","2.988"
"162","1/25/2024 12:37:30.684 PM","-0.148","2.998","1.447","1.100","2.985"
"163","1/25/2024 12:37:30.685 PM","-0.153","3.016","1.452","1.099","2.984"
"164","1/25/2024 12:37:30.686 PM","-0.154","3.016","1.443","1.098","2.984"
"165","1/25/2024 12:37:30.687 PM","-0.147","3.011","1.447","1.099","2.987"
"166","1/25/2024 12:37:30.688 PM","-0.158","3.012","1.453","1.099","2.987"
"167","1/25/2024 12:37:30.689 PM","-0.158","3.009","1.451","1.098","2.985"
"168","1/25/2024 12:37:30.690 PM","-0.162","3.009","1.452","1.100","2.988"
"169","1/25/2024 12:37:30.691 PM","-0.166","3.011","1.455","1.101","2.988"
"170","1/25/2024 12:37:30.692 PM","-0.155","3.007","1.448","1.100","2.986"
"171","1/25/2024 12:37:30.693 PM","-0.152","3.008","1.453","1.100","2.987"
"172","1/25/2024 12:37:30.694 PM","-0.155","3.009","1.451","1.100","2.986"
"173","1/25/2024 12:37:30.695 PM","-0.153","3.017","1.449","1.101","2.989"
"174","1/25/2024 12:37:30.696 PM","-0.149","3.016","1.454","1.097","2.986"
"175","1/25/2024 12:37:30.697 PM","-0.154","3.010","1.449","1.099","2.987"
"176","1/25/2024 12:37:30.698 PM","-0.152","3.012","1.456","1.100","2.987"
"177","1/25/2024 12:37:30.699 PM","-0.162","3.010","1.450","1.099","2.987"
"178","1/25/2024 12:37:30.700 PM","-0.159","3.007","1.447","1.098","2.986"
"179","1/25/2024 12:37:30.701 PM","-0.150","3.014","1.448","1.099","2.984"
"180","1/25/2024 12:37:30.702 PM","-0.150","3.017","1.450","1.098","2.987"
"181","1/25/2024 12:37:30.703 PM","-0.159","2.993","1.446","1.098","2.988"
"182","1/25/2024 12:37:30.704 PM","-0.162","3.003","1.445","1.099","2.985"
"183","1/25/2024 12:37:30.705 PM","-0.161","3.012","1.451","1.101","2.986"
"184","1/25/2024 12:37:30.706 PM","-0.170","3.009","1.449","1.100","2.987"
"185","1/25/2024 12:37:30.707 PM","-0.161","3.010","1.455","1.100","2.988"
"186","1/25/2024 12:37:30.708 PM","-0.159","3.011","1.454","1.099","2.986"
"187","1/25/2024 12:37:30.709 PM","-0.151","3.008","1.451","1.100","2.987"
"188","1/25/2024 12:37:30.710 PM","-0.153","3.009","1.453","1.098","2.988"
"189","1/25/2024 12:37:30.711 PM","-0.159","3.016","1.452","1.099","2.987"
"190","1/25/2024 12:37:30.712 PM","-0.151","3.032","1.451","1.098","2.988"
"191","1/25/2024 12:37:30.713 PM","-0.158","3.011","1.446","1.098","2.987"
"192","1/25/2024 12:37:30.714 PM","-0.157","3.010","1.450","1.098","2.988"
"193","1/25/2024 12:37:30.715 PM","-0.158","3.010","1.453","1.099","2.986"
"194","1/25/2024 12:37:30.716 PM","-0.159","3.010","1.454","1.098","2.987"
"195","1/25/2024 12:37:30.717 PM","-0.158","3.020","1.449","1.098","2.985"
"196","1/25/2024 12:37:30.718 PM","-0.166","3.008","1.450","1.098","2.988"
"197","1/25/2024 12:37:30.719 PM","-0.155","3.014","1.448","1.097","2.987"
"198","1/25/2024 12:37:30.720 PM","-0.166","3.013","1.451","1.098","2.987"
"199","1/25/2024 12:37:30.721 PM","-0.173","3.006","1.448","1.097","2.986"
"200","1/25/2024 12:37:30.722 PM","-0.164","3.007","1.442","1.098","2.987"
"201","1/25/2024 12:37:30.723 PM","-0.171","3.009","1.454","1.096","2.986"
"202","1/25/2024 12:37:30.724 PM","-0.175","3.009","1.450","1.098","2.986"
"203","1/25/2024 12:37:30.725 PM","-0.161","3.011","1.453","1.100","2.986"
"204","1/25/2024 12:37:30.726 PM","-0.161","3.012","1.454","1.099","2.987"
"205","1/25/2024 12:37:30.727 PM","-0.161","3.013","1.450","1.100","2.987"
"206","1/25/2024 12:37:30.728 PM","-0.147","3.000","1.454","1.097","2.985"
"207","1/25/2024 12:37:30.729 PM","-0.163","3.003","1.453","1.099","2.986"
"208","1/25/2024 12:37:30.730 PM","-0.150","3.011","1.452","1.098","2.987"
"209","1/25/2024 12:37:30.731 PM","-0.160","3.011","1.450","1.096","2.986"
"210","1/25/2024 12:37:30.732 PM","-0.152","3.011","1.452","1.098","2.987"
"211","1/25/2024 12:37:30.733 PM","-0.160","3.017","1.453","1.099","2.988"
"212","1/25/2024 12:37:30.734 PM","-0.159","3.007","1.451","1.097","2.987"
"213","1/25/2024 12:37:30.735 PM","-0.156","3.003","1.455","1.098","2.985"
"214","1/25/2024 12:37:30.736 PM","-0.155","3.015","1.451","1.098","2.988"
"215","1/25/2024 12:37:30.737 PM","-0.159","3.015","1.450","1.098","2.989"
"216","1/25/2024 12:37:30.738 PM","-0.168","3.012","1.452","1.099","2.987"
"217","1/25/2024 12:37:30.739 PM","-0.178","3.014","1.446","1.100","2.986"
"218","1/25/2024 12:37:30.740 PM","-0.159","3.011","1.452","1.097","2.986"
"219","1/25/2024 12:37:30.741 PM","-0.164","3.009","1.453","1.100","2.987"
"220","1/25/2024 12:37:30.742 PM","-0.165","3.009","1.452","1.098","2.986"
"221","1/25/2024 12:37:30.743 PM","-0.154","3.007","1.453","1.102","2.987"
"222","1/25/2024 12:37:30.744 PM","-0.156","3.012","1.452","1.100","2.986"
"223","1/25/2024 12:37:30.745 PM","-0.162","3.009","1.451","1.099","2.986"
"224","1/25/2024 12:37:30.746 PM","-0.163","3.008","1.453","1.098","2.985"
"225","1/25/2024 12:37:30.747 PM","-0.163","3.011","1.450","1.098","2.989"
"226","1/25/2024 12:37:30.748 PM","-0.159","3.011","1.450","1.098","2.986"
"227","1/25/2024 12:37:30.749 PM","-0.145","3.014","1.455","1.098","2.989"
"228","1/25/2024 12:37:30.750 PM","-0.152","3.017","1.452","1.099","2.986"
"229","1/25/2024 12:37:30.751 PM","-0.156","3.006","1.450","1.098","2.987"
"230","1/25/2024 12:37:30.752 PM","-0.153","3.006","1.454","1.096","2.986"
"231","1/25/2024 12:37:30.753 PM","-0.154","3.018","1.453","1.098","2.987"
"232","1/25/2024 12:37:30.754 PM","-0.155","3.002","1.450","1.100","2.988"
"233","1/25/2024 12:37:30.755 PM","-0.161","3.011","1.453","1.098","2.985"
"234","1/25/2024 12:37:30.756 PM","-0.170","3.010","1.452","1.099","2.987"
"235","1/25/2024 12:37:30.757 PM","-0.161","3.010","1.453","1.102","2.987"
"236","1/25/2024 12:37:30.758 PM","-0.162","3.009","1.453","1.099","2.985"
"237","1/25/2024 12:37:30.759 PM","-0.169","3.009","1.449","1.098","2.986"
"238","1/25/2024 12:37:30.760 PM","-0.150","3.010","1.452","1.099","2.987"
"239","1/25/2024 12:37:30.761 PM","-0.163","3.016","1.450","1.101","2.985"
"240","1/25/2024 12:37:30.762 PM","-0.167","3.021","1.456","1.098","2.986"
"241","1/25/2024 12:37:30.763 PM","-0.158","3.010","1.450","1.100","2.987"
"242","1/25/2024 12:37:30.764 PM","-0.162","3.009","1.453","1.102","2.986"
"243","1/25/2024 12:37:30.765 PM","-0.154","3.008","1.456","1.098","2.985"
"244","1/25/2024 12:37:30.766 PM","-0.153","3.008","1.452","1.098","2.987"
"245","1/25/2024 12:37:30.767 PM","-0.157","3.017","1.453","1.100","2.987"
"246","1/25/2024 12:37:30.768 PM","-0.170","3.017","1.454","1.097","2.986"
"247","1/25/2024 12:37:30.769 PM","-0.165","3.013","1.450","1.098","2.987"
"248","1/25/2024 12:37:30.770 PM","-0.165","3.012","1.455","1.099","2.987"
"249","1/25/2024 12:37:30.771 PM","-0.164","3.007","1.453","1.098","2.988"
